Dataset,SeqStein-NonOrtho,SeqStein-Ortho,AIMLow,AIMHigh,SLFN,MLP,ExNN,#Samples,#Features
wine_white,0.720$\pm$0.008,0.707$\pm$0.007,0.735$\pm$0.019,$\mathbf{0.683}$$\pm$0.018,0.726$\pm$0.011,0.723$\pm$0.022,0.707$\pm$0.011,4898,11
wine_red,0.621$\pm$0.008,0.617$\pm$0.015,0.629$\pm$0.016,$\mathbf{0.593}$$\pm$0.025,0.639$\pm$0.011,0.637$\pm$0.013,0.615$\pm$0.009,1599,11
