Dataset,SeqStein-NonOrtho,SeqStein-Ortho,AIMLow,AIMHigh,SLFN,MLP,ExNN,#Samples,#Features
wine_white,2.641$\pm$0.414,2.674$\pm$0.441,$\mathbf{1.539}$$\pm$0.615,20.035$\pm$5.698,9.092$\pm$3.143,6.200$\pm$2.489,107.387$\pm$20.231,4898,11
wine_red,0.775$\pm$0.326,0.874$\pm$0.454,$\mathbf{0.694}$$\pm$0.288,4.082$\pm$2.394,2.328$\pm$1.664,2.150$\pm$0.910,57.228$\pm$15.964,1599,11
