Dataset,SeqStein-NonOrtho,SeqStein-Ortho,AIMLow,AIMHigh,SLFN,MLP,ExNN,#Samples,#Features
wine_white,0.584$\pm$0.100,0.081$\pm$0.006,0.602$\pm$0.085,0.597$\pm$0.078,0.296$\pm$0.021,nan$\pm$nan,$\mathbf{0.000}$$\pm$0.000,4898,11
wine_red,0.322$\pm$0.098,0.090$\pm$0.022,0.337$\pm$0.061,0.309$\pm$0.059,0.296$\pm$0.011,nan$\pm$nan,$\mathbf{0.000}$$\pm$0.000,1599,11
