Dataset,SeqStein-NonOrtho,SeqStein-Ortho,AIMLow,AIMHigh,SLFN,MLP,ExNN,#Samples,#Features
wine_white,8.600$\pm$1.855,8.600$\pm$1.855,7.600$\pm$3.137,9.400$\pm$1.200,20.000$\pm$10.000,nan$\pm$nan,$\mathbf{7.100}$$\pm$0.700,4898,11
wine_red,$\mathbf{4.600}$$\pm$2.375,5.300$\pm$2.685,6.300$\pm$2.934,5.300$\pm$1.900,26.000$\pm$12.000,nan$\pm$nan,6.400$\pm$1.960,1599,11
